Mixture,turquoise,blue,green,yellow,brown,P-value,Correlation,RMSE
12-25748-20R,0.532301291664947,0,0.0412113312797112,0.426487377055342,0,0,0.579850304965695,0.814395446345125
12-25793-20R,0.367268032732924,0,0,0.632731967267076,0,0,0.506498128636274,0.868086608236849
14-01-004-R1,0.615958732350016,0,0.054802403840699,0.329238863809285,0,0,0.577558804724203,0.81816666706517
14-01-008-R3,0.240496269341712,0,0.0401151136484318,0.719388617009856,0,0,0.507740114641513,0.870127475107024
15-01-011R2,0.673984563247353,0,0,0.326015436752647,0,0,0.691797313795126,0.720238255755865
15-01-013R,0.138901222313556,0,0.15128799672385,0.709810780962595,0,0,0.488153004913406,0.889210864131974
15-01-023-R3,0.521562324435925,0.0166508281800223,0.00266085233446273,0.45912599504959,0,0,0.638053966400187,0.769093070872704
15-01-025R,0.470970109776082,0,0,0.529029890223918,0,0,0.620813340141931,0.783743578963088
15-01-032R2,0.516490441584979,0,0.091039717596892,0.392469840818129,0,0,0.430997442075933,0.920977955196401
15-01-24R,0.213744841251775,0,0.0647940216997118,0.721461137048513,0,0,0.383179066861102,0.954596709596242
16-01-006R,0.29320539634056,0,0.0121470229189288,0.694647580740511,0,0,0.533255469465976,0.850989104449328
16-01-011R,0.350307760915368,0,0.0895248684710056,0.560167370613627,0,0,0.433023079491623,0.916150103318754
16-01-035-R1,0.644931172082059,0,0,0.355068827917941,0,0,0.668293157288388,0.742065711201505
16-01-036-R1,0.377503365958845,0,0.0260942891317963,0.596402344909359,0,0,0.595034057970005,0.804311039567976
16-01-037-R1,0.345690546065397,0,0.345672156247782,0.30863729768682,0,0,0.688164218202081,0.723592245361194
16-01-038R,0.761743036880464,0,0.0273581761425665,0.21089878697697,0,0,0.385907986144344,0.983434866778535
16-01-041R,0.702385338400213,0,0,0.297614661599787,0,0,0.742375477046529,0.669580917984877
16-01-043R,0.823157762683815,0.0521878366659896,0.000678629217855442,0.12397577143234,0,0,0.571361309232083,0.843192206541144
16-01-044R,0.286009563722378,0,0,0.713990436277622,0,0,0.428936760755521,0.922437589494329
16-01-051-R1,0.690219723785749,0.091053126185895,0,0.198355685312319,0.020371464716037,0,0.71327098945194,0.69905024329937
17-01-002R,0.391603795507982,0.544793180088351,0.0636030244036671,0,0,0,0.383841168118684,1.01029174485454
17-01-003R,0.768435261039291,0,0,0.231564738960709,0,0,0.786367111078255,0.617980236512873
17-01-004R,0.695962597717108,0,0.0875298529726826,0.21650754931021,0,0,0.776750594831732,0.632237435203511
17-01-006R,0.443782286895327,0,0.0171572303355072,0.539060482769166,0,0,0.365164814738763,0.96012706232198
17-01-015-R1,0.463876212088614,0,0,0.536123787911386,0,0,0.6318504162962,0.775298698306335
17-01-016-R1,0.285988725358512,0,0,0.714011274641488,0,0,0.593626248675971,0.807779079993845
17-01-020R,0.708294894139598,0,0.0297062997431566,0.261998806117246,0,0,0.314956320379828,1.0224851969435
17-01-022R,0.243485430564629,0,0.0320216986011483,0.724492870834222,0,0,0.502928603688887,0.873568846104425
17-01-024R,0.411824509655248,0.102009130503543,0.000976784942416705,0.469571222016551,0.0156183528822414,0,0.460527767712783,0.901870976450802
17-01-025R,0.696164254252327,0.033579410170457,0.0689027872244168,0.201353548352799,0,0,0.660650473340915,0.749834445108001
17-01-028R,0.778799758342401,0.136107489409304,0.0850927522482953,0,0,0,0.380768221411571,0.997818239229838
17-01-032R,0.448549005431208,0.0436065952416322,0.180127871303143,0.327716528024017,0,0,0.72657336566454,0.690595723817104
