Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
12-25748-20R,0.134035720935697,0,0.00191293265125727,0,0,0.23736302060168,0,0.00552216575841779,0.000522998026157308,0,0,0.0785638260167347,0.0844968891337282,0,0,0.366194610251196,0,0.00693919275074477,0.0744958398504577,0,0,0.00995280402392879,0,0.0023509711218675,1.08876413660102
12-25793-20R,0.158092597189699,0,0,0,0,0.195030306634031,0,0.00908480148163753,0.00189975094239833,0,0,0.0977918313206899,0.0227186505188422,0,0,0.239711901210786,0,0,0.275670160701915,0,0,0,0,0.0105376933371025,1.09220490247742
14-01-004-R1,0.0859910423341296,0,0.0090737883035721,0,0,0.262106830990824,0,0,0,0,0,0.104345613242472,0.0606359363373528,0,0,0.30639420557278,0,0.000782953561105903,0.154982037092519,0,0,0.0156875925652444,0,0.00832053713872232,1.08497033475749
14-01-008-R3,0.1129831784973,0,0.000822006279010143,0,0,0.204860671907842,0,0,0.0192529254710991,0,0,0.0681861717782876,0.0235700399917064,0,0,0.516937227149488,0,0.00940825588334242,0.0362549386593196,0,0,0.0077245843826052,0,-0.00496734005490385,1.11156512528165
15-01-011R2,0.146720713138511,0,0.034554127437214,0.00664717840268839,0,0.179699097068874,0,0,0,0,0.00422712046227161,0.039568682228856,0.133960048500119,0,0.00157604685372526,0.327760439156247,0,0,0.0962499753138809,0,0,0.0290365714376139,0,0.0637812458048618,1.05807963017334
15-01-013R,0.0762375938658273,0,0.0122789768739108,0.053525039813783,0,0.281758591706552,0,0.00222419219443862,0,0,0,0.147074798809408,0.176277314981433,0,0,0.190484236643177,0,0,0,0.0123053437603383,0,0.0478339113511328,0,-0.0108764528816178,1.11415013644676
15-01-023-R3,0.150865167413666,0,0.00708377929394085,0.0278507445016918,0,0.14539442941702,0,0.00353328161288967,0,0,0,0.0581401484695168,0.11593404690319,0,0.0264878413747165,0.351512298869462,0,0,0.0982252551586628,0,0,0.0149730069852435,0,0.0230085723402324,1.07719693544637
15-01-025R,0.0386811941460973,0,0.00224838905418219,0.0460391366264765,0,0.21773178938326,0,0,0,0,0,0.0414007242921696,0.0787002719109245,0,0.0171982075849222,0.290054835066436,0,0,0.265256648158001,0,0,0.00268880377753093,0,0.105859824124926,1.04917202639698
15-01-032R2,0.161491671028587,0,0,0.0183029909089984,0,0.159996064696909,0,0.00136841511801214,0.025088471207926,0,0,0.0522080999746356,0.0362791290229625,0.0457340480457595,0,0.383962346825383,0,0,0.0884885060036267,0,0,0.0270802571672003,0,-0.0154671553594703,1.09796253633663
15-01-24R,0.0130985241561973,0,0.00233298289197335,0.0349231241626626,0,0.172555314510745,0,0.0614248965762745,0.0474842056283044,0,0,0.0701728412802944,0.0345752271252699,0.183337418591772,0,0.322534765458848,0,0.00203433041449767,0.0555263692031598,0,0,0,0,0.0403450482134651,1.08950377031531
