Genesets,Module
Interferon_19272155,Blue
Interferon_Cluster_21214954,Blue
Module3_IFN_score,Blue
APM1,Yellow
MHC.I_19272155,Yellow
MHC1_21978456,Yellow
APM2,Turquoise
CSF1_response,Turquoise
G_HLA-DPA1,Turquoise
MDACC.FNA.1_20805453,Turquoise
MHC.II_19272155,Turquoise
MHC2_21978456,Turquoise
TAMsurr_TcClassII_ratio,Turquoise
TcClassII_score,Turquoise
LIexpression_score,Brown
Module4_TcellBcell_score,Brown
Tcell_21978456,Brown
Cytotoxic_cells,Green
ICR_ACT_SCORE,Green
ICR_SCORE,Green
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
